"","effect_sizes","N_t","N_pers","pre_slope","step","slope","step2","bias_pre_slope","bias_step","bias_slope","bias_step2","Precision_pre_slope","Precision_step","Precision_slope","Precision_step2"
"123",0.025,20,500,1,0.067,0.3,0.051,-0.00457099141314785,-0.0323448602414579,0.0096586914554026,-0.0364717740194565,0.00325066686762183,0.0271408538634466,0.00659782968662574,0.0503018333427079
"124",0.025,20,700,1,0.079,0.395,0.053,-0.00245671686822978,0.0382274331337343,0.000116879631076236,0.0487531357813171,0.00273397443371871,0.0233051037349824,0.00538071092127407,0.0438423721569281
"125",0.025,20,900,1,0.067,0.521,0.056,0.00170609888704296,-0.00192898945001221,-0.00651316614814218,0.0271159756588478,0.00233051517018572,0.0194849542135161,0.00477588593685213,0.0365081473458101
"126",0.025,20,1100,1,0.076,0.61,0.068,0.00269365936092698,-0.0148445874984035,-0.00521362249788802,0.00933418946623871,0.00213090876802368,0.0182981506275553,0.00472373591043031,0.0352459861459543
"127",0.025,20,1300,1,0.086,0.658,0.079,-0.00135665359352104,0.00469615930595875,0.00778850828914903,-0.0532480050085987,0.00194299523283299,0.0168556248737975,0.00403919971286318,0.0324798386487481
"128",0.025,20,1500,1,0.102,0.747,0.086,0.00305743122575079,-0.0160315172624391,0.00011708244606592,-0.0599703651439807,0.0018637573710528,0.0156558552423798,0.00382222338673656,0.0301693281430659
"129",0.05,6,100,1,0.055,0.024,0.041,-0.0776953379243557,0.0400387772775026,0.111529702007701,-0.012114319901785,0.0454004817218924,0.102768962163213,0.0804099930783993,0.180798000473361
"130",0.05,6,300,1,0.069,0.032,0.043,-0.00588293101926119,-0.0767542618154668,-0.00164436471185759,0.0124604200398019,0.0266629184595974,0.0599228740340539,0.0460674988430269,0.101118885762209
"131",0.05,6,500,1,0.069,0.038,0.051,-0.00449648671023965,-0.0148139984969431,0.00603871649722222,-0.018114346145976,0.0201745879461113,0.0458467620712465,0.0346099001364263,0.0778678943743381
"132",0.05,6,700,1,0.088,0.055,0.064,-0.0155798818737033,0.000953461280227711,0.021528727882343,0.00397733817065988,0.0172721288568322,0.0411461941258934,0.0297583966604761,0.0692306716564402
"133",0.05,6,900,1,0.122,0.069,0.065,0.0146053940151505,-0.0920085229108266,-0.0393305801793759,0.0308272971079818,0.0158750761564454,0.037041933330274,0.0269366213797235,0.060654331157984
"134",0.05,6,1100,1,0.113,0.079,0.069,-0.00954328964774092,-0.0209663935947714,-0.00697017553378978,0.0651166099532261,0.0135986612521325,0.0317475201806068,0.0238515005144296,0.0535524723458993
"135",0.05,6,1300,1,0.117,0.079,0.082,-0.00655290256826947,0.0532321305191913,0.0178238161081972,0.0115681248502668,0.0126886604733835,0.0291242588119396,0.0220159073708799,0.0505546865140946
"136",0.05,6,1500,1,0.136,0.1,0.091,-0.00891705466734215,0.0129375431141502,-0.0139870526767782,0.0532579734151294,0.0119745743134273,0.02809459894374,0.0203813858712611,0.0464735721705434
"137",0.05,8,100,1,0.062,0.043,0.055,-0.0437628596891061,0.0748129288971885,-0.0293897525615058,0.312839034859789,0.0295550305981656,0.101175420304901,0.0610876105958026,0.200568018506988
